"logical_family_id","dataset","family","files","bytes","formats","parsers","ml_use_cases","heterogeneity_score","suggested_modes","split_by_format","kmeans_selected_k","kmeans_best_k","mclust_components","dbscan_clusters","changepoint_count","hurst","block_random_distance_ratio","temporal_sampling_recommendation","top_regime_driver","conditioning_drop_candidates","conditioning_add_candidates","top_gan_guidance"
"alibaba__alibaba","alibaba","alibaba",1000,100765044913,"oracle_general","oracle_general","request_sequence",2.0429,8,FALSE,2,2,NA,2,21,0.9788,0.5378,"block_sampling_preserves_temporal_coherence","size_bytes","write_ratio,iat_q50,opcode_switch_ratio,tenant_unique","object_unique,signed_stride_lag1_autocorr,obj_size_std","Ordered PC1 changepoints suggest 22 regimes when files are ordered by trace start time. Sequential blocks are much more internally coherent than random file batches; block or curriculum sampling is likely safer than pure iid file sampling. Opcode balance is extremely read-skewed; generation should not assume symmetric read/write behavior."
"Baleen24__Baleen24","Baleen24","Baleen24",374,31376065904,"baleen24","baleen24","request_sequence",0.4234,8,FALSE,2,2,NA,3,35,0.9611,0.3413,"block_sampling_preserves_temporal_coherence","sample_record_rate","","object_unique,signed_stride_lag1_autocorr,obj_size_std","Ordered PC1 changepoints suggest 36 regimes when files are ordered by trace start time. Sequential blocks are much more internally coherent than random file batches; block or curriculum sampling is likely safer than pure iid file sampling. Write pressure is material; preserve write bursts and opcode transitions in conditioning."
"MSR__exchange","MSR","exchange",96,1479416826,"exchange_etw","exchange_etw","request_sequence",0.3981,8,FALSE,4,4,NA,1,7,0.7857,0.8723,"random_sampling_is_less_problematic","obj_size_q90","tenant_unique","object_unique,signed_stride_lag1_autocorr,obj_size_std","Ordered PC1 changepoints suggest 8 regimes when files are ordered by trace start time. Write pressure is material; preserve write bursts and opcode transitions in conditioning. Tenant diversity is high; tenant/context conditioning is likely useful."
"s3-cache-datasets__2007_msr","s3-cache-datasets","2007_msr",14,1637389703,"oracle_general","oracle_general","request_sequence",1.047,3,FALSE,2,2,NA,1,2,0.5,NA,"","burstiness_cv","write_ratio,iat_q50,obj_size_q50,opcode_switch_ratio,tenant_unique","object_unique,signed_stride_lag1_autocorr,obj_size_std","Ordered PC1 changepoints suggest 3 regimes when files are ordered by trace start time. Opcode balance is extremely read-skewed; generation should not assume symmetric read/write behavior. Strongest feature coupling in this pass: ts_duration vs iat_mean (corr=1)."
"s3-cache-datasets__2007_wiki","s3-cache-datasets","2007_wiki",4,39128779019,"text_zst","generic_text","generic_sequence_or_log",0.4128,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","Strongest feature coupling in this pass: schema_high_cardinality_cols vs first_numeric_diff_mean (corr=1). A small set of files are strong multivariate outliers; consider holding them out for ablation or separate mode inspection."
"s3-cache-datasets__2015_cloudphysics","s3-cache-datasets","2015_cloudphysics",106,9026863149,"text_zst","generic_text","generic_sequence_or_log",1.3332,1,FALSE,2,2,NA,1,NA,NA,NA,"",NA,"","","Strongest feature coupling in this pass: schema_column_count vs schema_high_cardinality_cols (corr=0.69). A small set of files are strong multivariate outliers; consider holding them out for ablation or separate mode inspection."
"s3-cache-datasets__2016_wiki","s3-cache-datasets","2016_wiki",2,26587125241,"text,text_zst","generic_text","generic_sequence_or_log",0,1,TRUE,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","Family spans multiple encodings; keep format-aware preprocessing and avoid blindly pooling structured-table and request-sequence variants."
"s3-cache-datasets__2017_docker","s3-cache-datasets","2017_docker",7,600585203,"parquet","parquet_stub","inventory_only",1.2871,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","Family looks comparatively homogeneous in the extracted feature space."
"s3-cache-datasets__2017_systor","s3-cache-datasets","2017_systor",6,34993572898,"text_zst","generic_text","generic_sequence_or_log",0.1407,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","Strongest feature coupling in this pass: first_numeric_diff_mean vs first_numeric_diff_std (corr=1). A small set of files are strong multivariate outliers; consider holding them out for ablation or separate mode inspection."
"s3-cache-datasets__2018_tencentPhoto","s3-cache-datasets","2018_tencentPhoto",4,163051085109,"oracle_general,text_zst","generic_text,oracle_general","generic_sequence_or_log,request_sequence",0.0011,1,TRUE,NA,NA,NA,NA,NA,NA,NA,"",NA,"write_ratio,burstiness_cv,iat_q50,opcode_switch_ratio,iat_lag1_autocorr,tenant_unique,backward_seek_ratio","object_unique,signed_stride_lag1_autocorr,obj_size_std","Family spans multiple encodings; keep format-aware preprocessing and avoid blindly pooling structured-table and request-sequence variants. Opcode balance is extremely read-skewed; generation should not assume symmetric read/write behavior. Burstiness is high; inter-arrival and FFT/ACF losses should stay heavily weighted."
"s3-cache-datasets__2019_wiki","s3-cache-datasets","2019_wiki",6,79475295162,"oracle_general,text,text_zst","generic_text,oracle_general","generic_sequence_or_log,request_sequence",0.3227,1,TRUE,NA,NA,NA,NA,NA,NA,NA,"",NA,"write_ratio,iat_q50,opcode_switch_ratio,tenant_unique","object_unique,signed_stride_lag1_autocorr,obj_size_std","Family spans multiple encodings; keep format-aware preprocessing and avoid blindly pooling structured-table and request-sequence variants. Opcode balance is extremely read-skewed; generation should not assume symmetric read/write behavior. Burstiness is high; inter-arrival and FFT/ACF losses should stay heavily weighted."
"s3-cache-datasets__2020_alibabaBlock","s3-cache-datasets","2020_alibabaBlock",1001,251207505629,"oracle_general,text_zst","generic_text,oracle_general","generic_sequence_or_log,request_sequence",1.3222,8,TRUE,2,2,NA,2,21,0.9784,0.517,"block_sampling_preserves_temporal_coherence","size_bytes","write_ratio,iat_q50,opcode_switch_ratio,tenant_unique","object_unique,signed_stride_lag1_autocorr,obj_size_std","Family spans multiple encodings; keep format-aware preprocessing and avoid blindly pooling structured-table and request-sequence variants. Ordered PC1 changepoints suggest 22 regimes when files are ordered by trace start time. Sequential blocks are much more internally coherent than random file batches; block or curriculum sampling is likely safer than pure iid file sampling."
"s3-cache-datasets__2020_tencentBlock","s3-cache-datasets","2020_tencentBlock",4996,300469429369,"oracle_general,text_zst","generic_text,oracle_general","generic_sequence_or_log,request_sequence",2.0062,8,TRUE,2,2,NA,5,23,0.7922,0.6692,"block_sampling_preserves_temporal_coherence","abs_stride_q50","write_ratio,iat_q50,obj_size_q50,opcode_switch_ratio,tenant_unique","object_unique,signed_stride_lag1_autocorr,obj_size_std","Family spans multiple encodings; keep format-aware preprocessing and avoid blindly pooling structured-table and request-sequence variants. Ordered PC1 changepoints suggest 24 regimes when files are ordered by trace start time. Sequential blocks are much more internally coherent than random file batches; block or curriculum sampling is likely safer than pure iid file sampling."
"s3-cache-datasets__2020_twitter","s3-cache-datasets","2020_twitter",54,152248401229,"text_zst","generic_text","generic_sequence_or_log",0.5924,1,FALSE,2,2,NA,1,NA,NA,NA,"",NA,"","","Strongest feature coupling in this pass: size_bytes vs schema_high_cardinality_cols (corr=-0.01). A small set of files are strong multivariate outliers; consider holding them out for ablation or separate mode inspection."
"s3-cache-datasets__2020_twr_cdn","s3-cache-datasets","2020_twr_cdn",2,293223291415,"parquet","parquet_stub","inventory_only",1.3612,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","Family looks comparatively homogeneous in the extracted feature space."
"s3-cache-datasets__2020_twr_cdn.zst","s3-cache-datasets","2020_twr_cdn.zst",1,231608521285,"text_zst","generic_text","generic_sequence_or_log",0,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",NA,"","","Family looks comparatively homogeneous in the extracted feature space."
"s3-cache-datasets__2022_metaCDN","s3-cache-datasets","2022_metaCDN",3,2234960001,"oracle_general","oracle_general","request_sequence",0.1951,1,FALSE,NA,NA,NA,NA,NA,NA,NA,"",NA,"write_ratio,iat_q50,opcode_switch_ratio,tenant_unique","object_unique,signed_stride_lag1_autocorr,obj_size_std","Opcode balance is extremely read-skewed; generation should not assume symmetric read/write behavior. Burstiness is high; inter-arrival and FFT/ACF losses should stay heavily weighted. Current characterization suggests extra conditioning value from: object_unique, signed_stride_lag1_autocorr, obj_size_std."
"s3-cache-datasets__2022_metaKV","s3-cache-datasets","2022_metaKV",28,150823760418,"oracle_general,text_zst","generic_text,oracle_general","generic_sequence_or_log,request_sequence",0.4463,1,TRUE,3,3,NA,1,NA,NA,NA,"",NA,"iat_q50,tenant_unique","object_unique,signed_stride_lag1_autocorr,obj_size_std","Family spans multiple encodings; keep format-aware preprocessing and avoid blindly pooling structured-table and request-sequence variants. Opcode balance is extremely read-skewed; generation should not assume symmetric read/write behavior. Reuse/locality is a major axis here; locality-aware losses and conditioning should matter."
