"logical_family_id","dataset","family","files","bytes","formats","parsers"
"alibaba__alibaba","alibaba","alibaba",1000,100765044913,"oracle_general","oracle_general"
"Baleen24__Baleen24","Baleen24","Baleen24",374,31376065904,"baleen24","baleen24"
"MSR__exchange","MSR","exchange",96,1479416826,"exchange_etw","exchange_etw"
"s3-cache-datasets__2007_msr","s3-cache-datasets","2007_msr",14,1637389703,"oracle_general","oracle_general"
"s3-cache-datasets__2007_wiki","s3-cache-datasets","2007_wiki",4,39128779019,"text_zst","wiki_hash_text"
"s3-cache-datasets__2015_cloudphysics","s3-cache-datasets","2015_cloudphysics",106,9026863149,"oracle_general","oracle_general"
"s3-cache-datasets__2016_wiki","s3-cache-datasets","2016_wiki",2,26587125241,"text,text_zst","2016_wiki_text"
"s3-cache-datasets__2017_docker","s3-cache-datasets","2017_docker",7,600585203,"parquet","parquet_duckdb"
"s3-cache-datasets__2017_systor","s3-cache-datasets","2017_systor",6,34993572898,"text_zst","systor_text"
"s3-cache-datasets__2018_tencentPhoto","s3-cache-datasets","2018_tencentPhoto",4,163051085109,"oracle_general,text_zst","generic_text,oracle_general"
"s3-cache-datasets__2019_wiki","s3-cache-datasets","2019_wiki",6,79475295162,"oracle_general,text,text_zst","generic_text,oracle_general"
"s3-cache-datasets__2020_alibabaBlock","s3-cache-datasets","2020_alibabaBlock",1001,251207505629,"oracle_general,text_zst","generic_text,oracle_general"
"s3-cache-datasets__2020_tencentBlock","s3-cache-datasets","2020_tencentBlock",4996,300469429369,"oracle_general,text_zst","generic_text,oracle_general"
"s3-cache-datasets__2020_twitter","s3-cache-datasets","2020_twitter",54,152248401229,"oracle_general","oracle_general"
"s3-cache-datasets__2020_twr_cdn","s3-cache-datasets","2020_twr_cdn",3,524831812700,"parquet,text_zst","2020_twr_cdn_text,parquet_duckdb"
"s3-cache-datasets__2022_metaCDN","s3-cache-datasets","2022_metaCDN",3,2234960001,"oracle_general","oracle_general"
"s3-cache-datasets__2022_metaKV","s3-cache-datasets","2022_metaKV",28,150823760418,"oracle_general,text_zst","generic_text,oracle_general"
"s3-cache-datasets__2022_metaStorage","s3-cache-datasets","2022_metaStorage",5,616636804,"oracle_general","oracle_general"
"s3-cache-datasets__2023_metaCDN","s3-cache-datasets","2023_metaCDN",3,3731742149,"text_zst","2023_metaCDN_text"
"s3-cache-datasets__2023_metaStorage","s3-cache-datasets","2023_metaStorage",6,2884049801,"text,text_zst","2023_metaStorage_text"
"s3-cache-datasets__2024_google","s3-cache-datasets","2024_google",192,184455433356,"parquet,text_zst","generic_text,parquet_duckdb"
"s3-cache-datasets__2026-alibaba-thinkahead","s3-cache-datasets","2026-alibaba-thinkahead",45,15366738380,"oracle_general","oracle_general"
"s3-cache-datasets__alibaba","s3-cache-datasets","alibaba",1000,477220451258,"lcs","lcs"
"s3-cache-datasets__cache_trace_twitter_memcache","s3-cache-datasets","cache_trace_twitter_memcache",226,4179512478708,"oracle_general,parquet,text_zst","generic_text,oracle_general,parquet_duckdb"
"s3-cache-datasets__cloudphysics","s3-cache-datasets","cloudphysics",107,64319532236,"lcs,text","generic_text,lcs"
"s3-cache-datasets__metaKV","s3-cache-datasets","metaKV",11,33279238718,"lcs","lcs"
"s3-cache-datasets__msr","s3-cache-datasets","msr",36,8130400717,"lcs","lcs"
"s3-cache-datasets__other","s3-cache-datasets","other",2,386344048303,"oracle_general","oracle_general"
"s3-cache-datasets__tencentBlock","s3-cache-datasets","tencentBlock",4995,817117209599,"lcs","lcs"
"tencent__cloud_disk","tencent","cloud_disk",16296,7270989623,"tencent_cloud_disk","tencent_cloud_disk"
