"run","corpus","train_log","trace_dir","files_found","sampling_mode","retrieval_memory","regime_sampler","multi_scale_critic","mixed_type_recovery","pcf","eval_points","best_train_epoch","best_train_mmd2","best_train_recall","best_train_combined","last_train_epoch","last_train_combined"
"alibaba_v1","alibaba","train_alibaba_v1.log","/tiamat/zarathustra/traces/alibaba",239,"random",FALSE,0,FALSE,FALSE,FALSE,8,25,0.02397,0.509,0.12217,40,0.14877
"alibaba_v10","alibaba","train_alibaba_v10.log","/tiamat/zarathustra/traces/alibaba",239,"random",FALSE,0,FALSE,FALSE,FALSE,13,55,0.02445,0.306,0.16325,65,0.17127
"alibaba_v100","alibaba","train_alibaba_v100.log","/tiamat/zarathustra/traces/alibaba",239,"block sampling",FALSE,4,FALSE,FALSE,TRUE,8,20,0.01175,0.611,0.08965,40,0.10037
"alibaba_v101","alibaba","train_alibaba_v101.log","/tiamat/zarathustra/traces/alibaba",239,"block sampling",FALSE,4,FALSE,FALSE,TRUE,14,45,0.0134,0.585,0.0965,70,0.10277
"alibaba_v102","alibaba","train_alibaba_v102.log","/tiamat/zarathustra/traces/alibaba",239,"block sampling",FALSE,4,FALSE,FALSE,TRUE,9,10,0.0119,0.595,0.0929,45,0.10668
"alibaba_v103","alibaba","train_alibaba_v103.log","/tiamat/zarathustra/traces/alibaba",239,"block sampling",FALSE,4,FALSE,FALSE,TRUE,0,NA,NA,NA,NA,NA,NA
"alibaba_v104","alibaba","train_alibaba_v104.log","/tiamat/zarathustra/traces/alibaba",239,"block sampling",FALSE,4,FALSE,FALSE,TRUE,12,60,0.0099,0.624,0.0851,60,0.0851
"alibaba_v105","alibaba","train_alibaba_v105.log","/tiamat/zarathustra/traces/alibaba",239,"block sampling",FALSE,4,FALSE,FALSE,TRUE,16,35,0.01056,0.634,0.08376,80,0.08471
"alibaba_v106","alibaba","train_alibaba_v106.log","/tiamat/zarathustra/traces/alibaba",239,"block sampling",FALSE,4,FALSE,FALSE,TRUE,8,35,0.01343,0.587,0.09603,40,0.10516
"alibaba_v107","alibaba","train_alibaba_v107.log","/tiamat/zarathustra/traces/alibaba",239,"block sampling",FALSE,4,FALSE,FALSE,TRUE,7,30,0.02644,0.713,0.08384,35,0.1005
"alibaba_v108","alibaba","train_alibaba_v108.log","/tiamat/zarathustra/traces/alibaba",239,"block sampling",FALSE,4,FALSE,FALSE,TRUE,13,40,0.01111,0.503,0.11041,65,0.13486
"alibaba_v109","alibaba","train_alibaba_v109.log","/tiamat/zarathustra/traces/alibaba",239,"block sampling",FALSE,4,FALSE,FALSE,TRUE,9,25,0.01208,0.608,0.09058,45,0.09862
"alibaba_v11","alibaba","train_alibaba_v11.log","/tiamat/zarathustra/traces/alibaba",239,"random",FALSE,0,FALSE,FALSE,FALSE,12,60,0.02659,0.314,0.16379,60,0.16379
"alibaba_v110","alibaba","train_alibaba_v110.log","/tiamat/zarathustra/traces/alibaba",239,"block sampling",FALSE,4,TRUE,FALSE,TRUE,8,20,0.01287,0.615,0.08987,40,0.0985
"alibaba_v111","alibaba","train_alibaba_v111.log","/tiamat/zarathustra/traces/alibaba",239,"block sampling",FALSE,4,TRUE,FALSE,TRUE,10,25,0.01553,0.661,0.08333,50,0.11432
"alibaba_v112","alibaba","train_alibaba_v112.log","/tiamat/zarathustra/traces/alibaba",239,"block sampling",FALSE,4,TRUE,FALSE,TRUE,1,5,0.06116,0.43,0.17516,5,0.17516
"alibaba_v113","alibaba","train_alibaba_v113.log","/tiamat/zarathustra/traces/alibaba",239,"block sampling",FALSE,4,TRUE,FALSE,TRUE,1,5,0.03275,0.321,0.16865,5,0.16865
"alibaba_v114","alibaba","train_alibaba_v114.log","/tiamat/zarathustra/traces/alibaba",239,"block sampling",FALSE,4,TRUE,FALSE,TRUE,14,30,0.01151,0.694,0.07281,70,0.09314
"alibaba_v115","alibaba","train_alibaba_v115.log","/tiamat/zarathustra/traces/alibaba",239,"block sampling",FALSE,4,TRUE,FALSE,TRUE,17,55,0.01354,0.654,0.08274,85,0.11575
